author,commits,sum_delta_ccn_sum,sum_delta_nloc,sum_additions,sum_deletions,additions_por_delta_ccn_sum
zenkiotsuka-beep,1,-4,-23,0,26,0.0
Junior Magalhães,1,129,3710,5025,327,38.953
zfogg,2,-44,-989,3080,4597,70.0
james,2,331,3086,5004,119,15.118
gchallen,1,0,0,230,56,
criccomini,1,0,34,39,0,
kp30evg,1,10,11471,2379,144,237.9
owulveryck,2,224,23458,2080,8,9.286
Roberto Dávila,4,14,546,782,33,55.857
tmoody1973,1,201,41560,43637,225,217.1
Karlis Benefelds,1,136,1413,2041,55,15.007
dailyatti,1,49,171,254,33,5.184
VCAT Evidence Custodian,1,0,1517,2011,0,
cdleary,8,74,615,766,74,10.351
remiangelo,1,186,2251,3145,105,16.909
skyasu2,1,-7,-218,205,554,29.286
kraj,1,0,0,2,1,
Bazil Sajjad,1,0,0,45,8,
Konoa-1025,1,0,21,90,59,
Soynido,1,226,3928,4253,1,18.819
HeapsGo0d,1,2,31,65,38,32.5
JihunKong,1,0,15362,35,23,
teano-uTTu-9788,9,1293,14698,18217,69,14.089
mgisrael393823,1,120,1053,2355,1075,19.625
drew-y,8,68,391,1331,885,19.574
adamyap78,1,0,160,272,9,
SANDRA IA 8.0 QUANTUM Team,8,692,10731,19787,6767,28.594
justinelliottcobb,1,749,6392,7490,0,10.0
hjl2004-10,1,197,2572,3480,206,17.665
cjLee-cmd,1,30,168,723,436,24.1
n3rdstyle,4,41,115,233,74,5.683
raylinsami1,2,13,534,678,48,52.154
adityakedawat,1,14,3413,4337,2,309.786
lejecin125,1,0,729,1,24,
asgeirtj,1,0,8,16,0,
Luis H. Moreno,1,13,141,320,22,24.615
Lawa0921,1,0,15,23,7,
motoyoshi0107,1,0,4819,57,0,
dxtdev,1,0,114,146,0,
Alongkon Insuwan,1,27,177,220,9,8.148
vstram,2,42,498,866,244,20.619
ipergamali,11,0,0,42,44,
wyvernkalyx,1,276,3686,4983,39,18.054
remilatoufik1-byte,4,0,1,90,86,
kevinveenbirkenbach,24,310,1242,4042,2384,13.039
mugijiru,1,0,0,1,1,
contestra,3,-20,375,2975,2387,148.75
mlynnf123,1,-16,-5,137,123,8.562
Tayler Ramsay,1,243,11983,14077,0,57.93
zabsonrekalifa4-netizen,1,3,119,128,1,42.667
IanLindsley,1,1,98,318,205,318.0
JamieSnyder,2,-8,-7,76,170,9.5
przmoofficial,1,17,3415,844,599,49.647
Emirchelo-Lopez,1,0,16,18,0,
pauljohanneskraft,1,12,1001,1080,10,90.0
qrade,1,53,265,624,234,11.774
jackaldenryan,1,0,6,7,0,
ittanez,1,0,630,741,3,
PetrAnto,1,0,84,116,19,
splinter93,1,1,5,12,6,12.0
