repo,sha,parent_sha,author,before_files,after_files,before_nloc,after_nloc,delta_nloc,before_ccn_sum,after_ccn_sum,delta_ccn_sum,before_ccn_mean,after_ccn_mean,delta_ccn_mean,additions,deletions,linhas_adicionadas_por_delta_ccn,path_before,path_after
zenkiotsuka-beep/chcmw-bible-qa-v3,e2967be17b16982eb07a57e828d8cca19fa3b673,84b08887a6865ba4facc7b95d6379272b762292f,zenkiotsuka-beep,5,4,96,73,-23,8,4,-4,2.667,2.0,-0.667,0,26,0.0,analises_projeto_lote/zenkiotsuka-beep_chcmw-bible-qa-v3_e2967be_1756608515/before,analises_projeto_lote/zenkiotsuka-beep_chcmw-bible-qa-v3_e2967be_1756608515/after
juniormag/SportsGPT,ac747766718563414017490ecc48b7b06f1d1953,a1f7ef6159a0c0db73902d6ac679aae0139e54f0,Junior Magalhães,106,121,11578,15288,3710,118,247,129,1.844,2.573,0.729,5025,327,38.953,analises_projeto_lote/juniormag_SportsGPT_ac74776_1756608522/before,analises_projeto_lote/juniormag_SportsGPT_ac74776_1756608522/after
zfogg/ascii-chat,87044a40cca6d442b66aeb783639dee5241a15fa,e115ffcee1aa9e23c8a606ee04d3ecc6264f76f0,zfogg,120,120,236938,235939,-999,3833,3792,-41,4.864,4.938,0.074,1430,2935,34.878,analises_projeto_lote/zfogg_ascii-chat_87044a4_1756609130/before,analises_projeto_lote/zfogg_ascii-chat_87044a4_1756609130/after
IDLEcreative/Omniops,73065a6534a3b51f97277d6095b762044d905110,fc250d72e19d8cc4aabde4035bf588dcd61751e1,james,542,544,120354,120534,180,5233,5240,7,1.736,1.736,0.0,312,7,44.571,analises_projeto_lote/IDLEcreative_Omniops_73065a6_1756609761/before,analises_projeto_lote/IDLEcreative_Omniops_73065a6_1756609761/after
gchallen/gchallen.github.io,7c2722281202d85ec283b592a4c2955b11b99640,5fe5fca6f307c676205135cc40434a92e7d54c52,gchallen,0,0,0,0,0,0,0,0,0.0,0.0,0.0,230,56,,analises_projeto_lote/gchallen_gchallen.github.io_7c27222_1756609775/before,analises_projeto_lote/gchallen_gchallen.github.io_7c27222_1756609775/after
slatedb/slatedb,1337da826524d894a95107cc718b6b9de2d8597e,4633b38c82db3395e456ad270a52b529010fb785,criccomini,231,234,59314,59348,34,3152,3152,0,2.115,2.115,0.0,39,0,,analises_projeto_lote/slatedb_slatedb_1337da8_1756609783/before,analises_projeto_lote/slatedb_slatedb_1337da8_1756609783/after
kp30evg/evg-ai,264c4914ae7513f17a75fd29eec3f714b8875a73,03411752dceb2290ccfffed8dac73650ac4c7904,kp30evg,15,24,6366,17837,11471,2,12,10,1.0,1.091,0.091,2379,144,237.9,analises_projeto_lote/kp30evg_evg-ai_264c491_1756609794/before,analises_projeto_lote/kp30evg_evg-ai_264c491_1756609794/after
owulveryck/gomcptest,b7571b95b84efa821aabbe7481cb5fad0802413a,b46b67ca7fc4c11465aa729c7f8c930ec9cbddd5,owulveryck,263,283,165325,188730,23405,2731,2954,223,2.628,2.708,0.08,2016,0,9.04,analises_projeto_lote/owulveryck_gomcptest_b7571b9_1756609805/before,analises_projeto_lote/owulveryck_gomcptest_b7571b9_1756609805/after
zfogg/ascii-chat,24bc48a5b67708de92e2a96a8174e1b714ce989e,dc5d18c8149cdc28ac5ee8bd634468ad185f788e,zfogg,110,110,237501,237511,10,3982,3979,-3,4.934,4.931,-0.003,1650,1662,550.0,analises_projeto_lote/zfogg_ascii-chat_24bc48a_1756609979/before,analises_projeto_lote/zfogg_ascii-chat_24bc48a_1756609979/after
RDG-CONSULTORES/pollo-loco-supervision,efdf7360070e09f4bca316deb3150f407115a618,dba8aeb8202d4e0be87de4f569ea33bde48a3695,Roberto Dávila,78,79,17722,17855,133,781,789,8,2.152,2.132,-0.02,199,4,24.875,analises_projeto_lote/RDG-CONSULTORES_pollo-loco-supervision_efdf736_1756610708/before,analises_projeto_lote/RDG-CONSULTORES_pollo-loco-supervision_efdf736_1756610708/after
tmoody1973/public-radio-agents,dbf999cc5e104e5a6caaba56a1f4558ffcb0c472,22834f44ea8e3885618a8fcaa362d4289816f3d8,tmoody1973,135,160,41652,83212,41560,138,339,201,2.339,2.106,-0.233,43637,225,217.1,analises_projeto_lote/tmoody1973_public-radio-agents_dbf999c_1756610715/before,analises_projeto_lote/tmoody1973_public-radio-agents_dbf999c_1756610715/after
RDG-CONSULTORES/pollo-loco-supervision,dba8aeb8202d4e0be87de4f569ea33bde48a3695,98a7990c2d525b309bdee967109bc8b30f739348,Roberto Dávila,78,78,17614,17722,108,781,781,0,2.152,2.152,0.0,156,14,,analises_projeto_lote/RDG-CONSULTORES_pollo-loco-supervision_dba8aeb_1756610735/before,analises_projeto_lote/RDG-CONSULTORES_pollo-loco-supervision_dba8aeb_1756610735/after
