repo,sha,parent_sha,author
827362/based,e990bf60afd119c77cb6979a2ce5fa8d0bbd8275,74296dd714496141a2b5050eb63de71606433fd0,827362
827362/based,74296dd714496141a2b5050eb63de71606433fd0,bc15be0f090ea3198ca8d03d8f1124dc8465e5fe,827362
827362/based,48c8084fbddc04c8e0721c9e682815e93721985d,740a25d0b081c795c9494a2996f566595069a216,827362
827362/based,70839b7f8e0dce13fd8e425172cdbb4cfcdc6ff0,7f077c60032016870d18bb04835d6873e65c261a,827362
827362/based,9bc90b0c7770caffb68dfdd6d907fea8d399097c,6372dddd4b364c37b494375f3d3a69c3299f4b8e,827362
827362/based,6372dddd4b364c37b494375f3d3a69c3299f4b8e,86924fff61ab8d6b4b1a10a500f8e236c0997808,827362
827362/based,93584d750b95891bbdd76191596d3ea869a416b3,929526299a7da8ff6babddcb92031dd1b8fd008b,827362
awano27/ai-news-site,6647923c4870b2ffb45ec81815f22823b89d2eab,6e3f1d9ca3a2767f901b1f1ae7ba727521157511,github-actions[bot]
Ipswich38/11mercado,2987a4f1b4d0da1ddad49d480b21f8cf2724fcfc,2a946e150bff743ffb3e21ed78a040c962439ff3,Ipswich38
OpenTermsArchive/GenAI-snapshots,24c7e904a69e829e1f97dbe4cb6097ae37d4408c,d0f18ff85f4c734c99e9e698d90aa042a9c46fb8,OTA-Bot
OpenTermsArchive/GenAI-snapshots,d0f18ff85f4c734c99e9e698d90aa042a9c46fb8,da894d954195ebd8da0161ed08ba0ac403465f18,OTA-Bot
OpenTermsArchive/GenAI-snapshots,da894d954195ebd8da0161ed08ba0ac403465f18,d1e782f26355f60340b8b63f4460c6b344b2ba0d,OTA-Bot
OpenTermsArchive/GenAI-snapshots,d1e782f26355f60340b8b63f4460c6b344b2ba0d,d6df3a694b5eac0d6a01dde9a7776f42d18b39ee,OTA-Bot
OpenTermsArchive/GenAI-snapshots,e838be20a61c15ddcd8b329dba802499e1713b1a,83d4d46c2d2ff5b10b3459d21839b038c3f6160f,OTA-Bot
OpenTermsArchive/GenAI-snapshots,d6df3a694b5eac0d6a01dde9a7776f42d18b39ee,e838be20a61c15ddcd8b329dba802499e1713b1a,OTA-Bot
OpenTermsArchive/GenAI-snapshots,83d4d46c2d2ff5b10b3459d21839b038c3f6160f,a951a46e8fe9a5f0aacbe1734e1ea6590a6d914a,OTA-Bot
OpenTermsArchive/GenAI-snapshots,a951a46e8fe9a5f0aacbe1734e1ea6590a6d914a,e3aa1d5a4f6d392f64cac00a76fd36fe109b8b17,OTA-Bot
OpenTermsArchive/GenAI-snapshots,e3aa1d5a4f6d392f64cac00a76fd36fe109b8b17,6b8a60692c224d48ac01316b0cc7549a5e0b61e4,OTA-Bot
OpenTermsArchive/GenAI-snapshots,6b8a60692c224d48ac01316b0cc7549a5e0b61e4,c8c37a02df1b1f3d264e991a54a499709bfa3a34,OTA-Bot
OpenTermsArchive/GenAI-snapshots,c8c37a02df1b1f3d264e991a54a499709bfa3a34,0d981dae1bd7b6315bb560754fc24d7d1aceddc8,OTA-Bot
OpenTermsArchive/GenAI-snapshots,0d981dae1bd7b6315bb560754fc24d7d1aceddc8,30962b9647b8dc9722484e219da442eba3649bd3,OTA-Bot
OpenTermsArchive/GenAI-snapshots,30962b9647b8dc9722484e219da442eba3649bd3,8e92dbb3ba71459024f19f00b8f4f116cc2954b6,OTA-Bot
OpenTermsArchive/GenAI-snapshots,8e92dbb3ba71459024f19f00b8f4f116cc2954b6,03f3e44d26f1cd7ca1c5bbad38fef9d2c1d21ac7,OTA-Bot
