repo,author,sha,additions,deletions,delta_nloc,before_ccn_sum,after_ccn_sum,delta_ccn_sum,before_ccn_mean,after_ccn_mean,delta_ccn_mean,linhas_por_abs_delta_ccn
827362/based,827362,e990bf60afd119c77cb6979a2ce5fa8d0bbd8275,1,0,1,468,468,0,1.481,1.481,0.0,0.0
827362/based,827362,74296dd714496141a2b5050eb63de71606433fd0,111,162,-31,471,468,-3,1.476,1.481,0.005,37.0
827362/based,827362,48c8084fbddc04c8e0721c9e682815e93721985d,1,0,0,398,398,0,1.458,1.458,0.0,0.0
827362/based,827362,70839b7f8e0dce13fd8e425172cdbb4cfcdc6ff0,179,4,171,417,421,4,1.414,1.413,-0.001,44.75
827362/based,827362,9bc90b0c7770caffb68dfdd6d907fea8d399097c,4,1,3,385,385,0,1.447,1.447,0.0,0.0
827362/based,827362,6372dddd4b364c37b494375f3d3a69c3299f4b8e,360,166,152,365,385,20,1.42,1.447,0.027,18.0
827362/based,827362,93584d750b95891bbdd76191596d3ea869a416b3,293,82,463,273,297,24,1.437,1.456,0.019,12.208
awano27/ai-news-site,github-actions[bot],6647923c4870b2ffb45ec81815f22823b89d2eab,423,380,75,1781,1781,0,4.355,4.355,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,24c7e904a69e829e1f97dbe4cb6097ae37d4408c,2,2,0,4247,4247,0,3.875,3.875,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,d0f18ff85f4c734c99e9e698d90aa042a9c46fb8,1,1,0,4247,4247,0,3.875,3.875,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,da894d954195ebd8da0161ed08ba0ac403465f18,2,2,0,4247,4247,0,3.875,3.875,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,d1e782f26355f60340b8b63f4460c6b344b2ba0d,2,2,0,4247,4247,0,3.875,3.875,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,e838be20a61c15ddcd8b329dba802499e1713b1a,1,1,0,4247,4247,0,3.875,3.875,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,d6df3a694b5eac0d6a01dde9a7776f42d18b39ee,2,2,0,4247,4247,0,3.875,3.875,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,83d4d46c2d2ff5b10b3459d21839b038c3f6160f,2,2,0,4247,4247,0,3.875,3.875,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,a951a46e8fe9a5f0aacbe1734e1ea6590a6d914a,2,2,0,4247,4247,0,3.875,3.875,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,e3aa1d5a4f6d392f64cac00a76fd36fe109b8b17,1,1,0,4247,4247,0,3.875,3.875,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,6b8a60692c224d48ac01316b0cc7549a5e0b61e4,1,1,0,4247,4247,0,3.875,3.875,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,c8c37a02df1b1f3d264e991a54a499709bfa3a34,2,2,0,4247,4247,0,3.875,3.875,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,0d981dae1bd7b6315bb560754fc24d7d1aceddc8,2,2,0,4247,4247,0,3.875,3.875,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,30962b9647b8dc9722484e219da442eba3649bd3,2,2,0,4247,4247,0,3.875,3.875,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,8e92dbb3ba71459024f19f00b8f4f116cc2954b6,1,1,0,4247,4247,0,3.875,3.875,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,03f3e44d26f1cd7ca1c5bbad38fef9d2c1d21ac7,2,2,0,4247,4247,0,3.875,3.875,0.0,0.0
unreal-art/console,laciferin2024,61d5da56aff54370161617c66b129202bc184185,4691,1077,2591,701,1261,560,1.504,1.925,0.421,8.377
rubenayla/partle,rubenayla,f491cf22762c7080df6e0acb3a3c63d543ffe5a7,89,0,77,2584,2584,0,3.822,3.822,0.0,0.0
rubenayla/partle,rubenayla,2b6f93b5c642af0840a6ed9e0420d31968155c07,729,0,598,2478,2478,0,3.933,3.933,0.0,0.0
